# Athena++ data at time=8.010243e-01  cycle=46  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0021 -1.22000e+00  2.99851e+00  2.99751e+00  6.42134e-04  0.00000e+00  0.00000e+00
0022 -1.18000e+00  2.99537e+00  2.99227e+00  1.99624e-03  0.00000e+00  0.00000e+00
0023 -1.14000e+00  2.98771e+00  2.97950e+00  5.30025e-03  0.00000e+00  0.00000e+00
0024 -1.10000e+00  2.97205e+00  2.95349e+00  1.20693e-02  0.00000e+00  0.00000e+00
0025 -1.06000e+00  2.94502e+00  2.90878e+00  2.38188e-02  0.00000e+00  0.00000e+00
0026 -1.02000e+00  2.90487e+00  2.84291e+00  4.14015e-02  0.00000e+00  0.00000e+00
0027 -9.80000e-01  2.85239e+00  2.75769e+00  6.46466e-02  0.00000e+00  0.00000e+00
0028 -9.40000e-01  2.79019e+00  2.65803e+00  9.25699e-02  0.00000e+00  0.00000e+00
0029 -9.00000e-01  2.72149e+00  2.54967e+00  1.23898e-01  0.00000e+00  0.00000e+00
0030 -8.60000e-01  2.64910e+00  2.43741e+00  1.57487e-01  0.00000e+00  0.00000e+00
0031 -8.20000e-01  2.57505e+00  2.32470e+00  1.92479e-01  0.00000e+00  0.00000e+00
0032 -7.80000e-01  2.50081e+00  2.21384e+00  2.28242e-01  0.00000e+00  0.00000e+00
0033 -7.40000e-01  2.42751e+00  2.10654e+00  2.64242e-01  0.00000e+00  0.00000e+00
0034 -7.00000e-01  2.35642e+00  2.00452e+00  2.99854e-01  0.00000e+00  0.00000e+00
0035 -6.60000e-01  2.28933e+00  1.91012e+00  3.34116e-01  0.00000e+00  0.00000e+00
0036 -6.20000e-01  2.22911e+00  1.82697e+00  3.65431e-01  0.00000e+00  0.00000e+00
0037 -5.80000e-01  2.17982e+00  1.76002e+00  3.91418e-01  0.00000e+00  0.00000e+00
0038 -5.40000e-01  2.14587e+00  1.71449e+00  4.09858e-01  0.00000e+00  0.00000e+00
0039 -5.00000e-01  2.12628e+00  1.68842e+00  4.19005e-01  0.00000e+00  0.00000e+00
0040 -4.60000e-01  2.12294e+00  1.68409e+00  4.24387e-01  0.00000e+00  0.00000e+00
0041 -4.20000e-01  2.11740e+00  1.67657e+00  4.23081e-01  0.00000e+00  0.00000e+00
0042 -3.80000e-01  2.11912e+00  1.67913e+00  4.24413e-01  0.00000e+00  0.00000e+00
0043 -3.40000e-01  2.11838e+00  1.67798e+00  4.23630e-01  0.00000e+00  0.00000e+00
0044 -3.00000e-01  2.12000e+00  1.68015e+00  4.23983e-01  0.00000e+00  0.00000e+00
0045 -2.60000e-01  2.11991e+00  1.68033e+00  4.23750e-01  0.00000e+00  0.00000e+00
0046 -2.20000e-01  2.12013e+00  1.68044e+00  4.23799e-01  0.00000e+00  0.00000e+00
0047 -1.80000e-01  2.11964e+00  1.67980e+00  4.23543e-01  0.00000e+00  0.00000e+00
0048 -1.40000e-01  2.11924e+00  1.67965e+00  4.23480e-01  0.00000e+00  0.00000e+00
0049 -1.00000e-01  2.11919e+00  1.67964e+00  4.23433e-01  0.00000e+00  0.00000e+00
0050 -6.00000e-02  2.11937e+00  1.67998e+00  4.23553e-01  0.00000e+00  0.00000e+00
0051 -2.00000e-02  2.11939e+00  1.68035e+00  4.23698e-01  0.00000e+00  0.00000e+00
0052  2.00000e-02  2.11907e+00  1.68039e+00  4.23717e-01  0.00000e+00  0.00000e+00
0053  6.00000e-02  2.11847e+00  1.68026e+00  4.23677e-01  0.00000e+00  0.00000e+00
0054  1.00000e-01  2.11794e+00  1.67987e+00  4.23523e-01  0.00000e+00  0.00000e+00
0055  1.40000e-01  2.11750e+00  1.67972e+00  4.23468e-01  0.00000e+00  0.00000e+00
0056  1.80000e-01  2.11597e+00  1.67979e+00  4.23479e-01  0.00000e+00  0.00000e+00
0057  2.20000e-01  2.10661e+00  1.68011e+00  4.23599e-01  0.00000e+00  0.00000e+00
0058  2.60000e-01  2.06451e+00  1.68037e+00  4.23704e-01  0.00000e+00  0.00000e+00
0059  3.00000e-01  1.94127e+00  1.68037e+00  4.23702e-01  0.00000e+00  0.00000e+00
0060  3.40000e-01  1.71861e+00  1.68028e+00  4.23670e-01  0.00000e+00  0.00000e+00
0061  3.80000e-01  1.49637e+00  1.68000e+00  4.23540e-01  0.00000e+00  0.00000e+00
0062  4.20000e-01  1.38557e+00  1.67984e+00  4.23457e-01  0.00000e+00  0.00000e+00
0063  4.60000e-01  1.35857e+00  1.67983e+00  4.23456e-01  0.00000e+00  0.00000e+00
0064  5.00000e-01  1.35590e+00  1.67989e+00  4.23483e-01  0.00000e+00  0.00000e+00
0065  5.40000e-01  1.35612e+00  1.68018e+00  4.23631e-01  0.00000e+00  0.00000e+00
0066  5.80000e-01  1.35705e+00  1.68045e+00  4.23770e-01  0.00000e+00  0.00000e+00
0067  6.20000e-01  1.35798e+00  1.68052e+00  4.23805e-01  0.00000e+00  0.00000e+00
0068  6.60000e-01  1.35818e+00  1.68050e+00  4.23794e-01  0.00000e+00  0.00000e+00
0069  7.00000e-01  1.35812e+00  1.68025e+00  4.23669e-01  0.00000e+00  0.00000e+00
0070  7.40000e-01  1.35795e+00  1.67995e+00  4.23512e-01  0.00000e+00  0.00000e+00
0071  7.80000e-01  1.35789e+00  1.67981e+00  4.23441e-01  0.00000e+00  0.00000e+00
0072  8.20000e-01  1.35792e+00  1.67982e+00  4.23444e-01  0.00000e+00  0.00000e+00
0073  8.60000e-01  1.35803e+00  1.67996e+00  4.23518e-01  0.00000e+00  0.00000e+00
0074  9.00000e-01  1.35821e+00  1.68026e+00  4.23669e-01  0.00000e+00  0.00000e+00
0075  9.40000e-01  1.35835e+00  1.68048e+00  4.23781e-01  0.00000e+00  0.00000e+00
0076  9.80000e-01  1.35841e+00  1.68057e+00  4.23825e-01  0.00000e+00  0.00000e+00
0077  1.02000e+00  1.35845e+00  1.68061e+00  4.23845e-01  0.00000e+00  0.00000e+00
0078  1.06000e+00  1.35848e+00  1.68063e+00  4.23857e-01  0.00000e+00  0.00000e+00
0079  1.10000e+00  1.35850e+00  1.68064e+00  4.23860e-01  0.00000e+00  0.00000e+00
0080  1.14000e+00  1.35851e+00  1.68061e+00  4.23848e-01  0.00000e+00  0.00000e+00
0081  1.18000e+00  1.35789e+00  1.67930e+00  4.23181e-01  0.00000e+00  0.00000e+00
0082  1.22000e+00  1.34659e+00  1.65601e+00  4.11146e-01  0.00000e+00  0.00000e+00
0083  1.26000e+00  1.28027e+00  1.52193e+00  3.38566e-01  0.00000e+00  0.00000e+00
0084  1.30000e+00  1.14456e+00  1.25854e+00  1.81263e-01  0.00000e+00  0.00000e+00
0085  1.34000e+00  1.03898e+00  1.06658e+00  5.00698e-02  0.00000e+00  0.00000e+00
0086  1.38000e+00  1.00557e+00  1.00934e+00  7.19478e-03  0.00000e+00  0.00000e+00
0087  1.42000e+00  1.00051e+00  1.00085e+00  6.54323e-04  0.00000e+00  0.00000e+00
0088  1.46000e+00  1.00003e+00  1.00006e+00  4.38188e-05  0.00000e+00  0.00000e+00
0089  1.50000e+00  1.00000e+00  1.00000e+00  2.36533e-06  0.00000e+00  0.00000e+00
0090  1.54000e+00  1.00000e+00  1.00000e+00  1.09283e-07  0.00000e+00  0.00000e+00
0091  1.58000e+00  1.00000e+00  1.00000e+00  4.50316e-09  0.00000e+00  0.00000e+00
0092  1.62000e+00  1.00000e+00  1.00000e+00  1.70465e-10  0.00000e+00  0.00000e+00
0093  1.66000e+00  1.00000e+00  1.00000e+00  6.04953e-12  0.00000e+00  0.00000e+00
0094  1.70000e+00  1.00000e+00  1.00000e+00  2.03467e-13  0.00000e+00  0.00000e+00
0095  1.74000e+00  1.00000e+00  1.00000e+00  6.67731e-15  0.00000e+00  0.00000e+00
0096  1.78000e+00  1.00000e+00  1.00000e+00  9.53905e-17  0.00000e+00  0.00000e+00
0097  1.82000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0098  1.86000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0099  1.90000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0100  1.94000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0101  1.98000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
